

Section,Variable Name,Variable Label,
Employment While Enrolled   ,PRODORT,"Productivity orientation trichotomy",
Employment While Enrolled   ,PROPAA,"Proportion of months enrolled in which AA earner was employed",
Employment While Enrolled   ,PROPBA,"Proportion of months enrolled in which BA earner was employed",
Employment While Enrolled   ,SCH_WRK,"Percent of months enrolled a respondent is also working",
Employment While Enrolled   ,SCHJOBGP,"High School Employment Experience Index",
Employment While Enrolled   ,SIGEMP82,"Extent of employment 1981-82",
Employment While Enrolled   ,WORKSTU,"Worked while enrolled to pay for college",
Employment While Enrolled   ,Y4103G,"During 9206 apprenticeship or government train program",
Employment While Enrolled   ,Y4203K01,"First institution had on-campus job",
Family Other   ,CHILD82,"Became a parent by 1982",
Family Other   ,CHILD86,"Children in 1986",
Family Other   ,CHILD86M,"Became a parent by 1986, modified version",
Family Other   ,FMSTAT86,"Family status in 1986",
Family Other   ,FMSTAT92,"Family status in 1992",
Family Other   ,LVARNG92,"Living arrangements 1992",
Family Other   ,NUMCHD,"Number of children",
Family Other   ,SY65,"Had child(ren) 1st week Feb 1984",
Family Other   ,SY65A,"Number of children first week Feb 84",
Family Other   ,TY49,"Number of children ever had as of 2-1-86",
Family Other   ,Y4402,"How many children (# Records in module)",
Family Other   ,Y4403A01,"First child age",
Family Other   ,Y4403D01,"First child living arrangement",
Family Other   ,Y4403E01,"First child enrolled in preschool",
Family Other   ,Y4403F01,"First child school type attended",
Family Other   ,Y4403G01,"First child grade in school",
Family Spouse   ,FMFRM92,"Marital and parental status 1992",
Family Spouse   ,MARST86,"Marital status in 1986",
Family Spouse   ,MARST92,"Marital status 9206",
Family Spouse   ,SY56,"Marital status Feb 1984",
Family Spouse   ,TMSMAR92,"Number of marriages",
Family Spouse   ,TY41,"Marital status first week of Feb 86",
Family Spouse   ,Y4401A62,"2/88 Marital Status",
Family Spouse   ,Y4401A86,"2/90 Marital status",
Finances Assets   ,HOME86,"Home ownership in 1986",
Finances Assets   ,HOMOWN92,"Home ownership in 1992",
Finances Assets   ,OWNBUS91,"Owned business in 1991",
Finances Debt Education  ,Y4213,"Received educational loans since 1986",
Finances Debt Education  ,Y4214,"Amount borrowed for undergraduate education",
Finances Debt Education  ,Y4216,"Amount still owed for education",
Finances Debt Education  ,Y4217,"Loan payments deferred or forgiven",
Finances Debt Other  ,Y4602A,"Monthly mortgage payment",
Finances Debt Other  ,Y4602B,"Monthly auto loan payment",
Finances Debt Other  ,Y4602C,"Other monthly debt payment",
Finances Income   ,AE91,"Annual earnings for 1991",
Finances Income   ,BYSES,"Socioeconomic status",
Finances Income   ,EARN90,"Annual earnings in 1990 (all sources)",
Finances Income   ,EARN92,"Annual earnings in 1992",
Finances Income   ,END_PAY,"Annual earnings for last full year after attainment",
Finances Income   ,FAMINC,"Family income in 1980",
Finances Income   ,FY34,"Reserve wage while in high school 82",
Finances Income   ,FY35,"Reserve wage after graduating from high school 82",
Finances Income   ,INCSRCA,"Income from wages salaries 1991",
Finances Income   ,INCSRCB,"Income from business farm 1991",
Finances Income   ,INCSRCC,"Income from interest etc 1991",
Finances Income   ,INCSRCD,"Income from social security 1991",
Finances Income   ,INCSRCE,"Income from veteran benefits 1991",
Finances Income   ,INCSRCF,"Income from unemployment income 1991",
Finances Income   ,INCSRCG,"Income from welfare income 1991",
Finances Income   ,INCSRCH,"Income from gifts 1991",
Finances Income   ,INCSRCI,"Income from scholarships etc 1991",
Finances Income   ,INCSRCJ,"No taxable income 1991",
Finances Income   ,INCSRCK,"No income received 1991",
Finances Income   ,INCWRK91,"Dominant source of income 1991",
Finances Income   ,JOBFAM82,"Proportion of income contributed to family",
Finances Income   ,JOBSAV82,"Proportion of income saved for college",
Finances Income   ,LOGEARN,"Annual earnings in 1991 log10",
Finances Income   ,PBYSES,"Status: Socioeconomic status percentile",
Finances Income   ,QUIN91,"Income quintile--calculated separately by gender",
Finances Income   ,RANK_CHG,"Percentile ranking of the change in starting & ending pay",
Finances Income   ,RELERA10,"Earnings in 10th year after highest degree",
Finances Income   ,RELERB10,"Earnings in 10th year after last attend postsecondary",
Finances Income   ,RELERNA1,"Earnings in 1st year after highest degree",
Finances Income   ,RELERNA2,"Earnings in 2nd year after highest degree",
Finances Income   ,RELERNA3,"Earnings in 3rd year after highest degree",
Finances Income   ,RELERNA4,"Earnings in 4th year after highest degree",
Finances Income   ,RELERNA5,"Earnings in 5th year after highest degree",
Finances Income   ,RELERNA6,"Earnings in 6th year after highest degree",
Finances Income   ,RELERNA7,"Earnings in 7th year after highest degree",
Finances Income   ,RELERNA8,"Earnings in 8th year after highest degree",
Finances Income   ,RELERNA9,"Earnings in 9th year after highest degree",
Finances Income   ,RELERNB1,"Earnings in 1st year after last attend postsecondary",
Finances Income   ,RELERNB2,"Earnings in 2nd year after last attend postsecondary",
Finances Income   ,RELERNB3,"Earnings in 3rd year after last attend postsecondary",
Finances Income   ,RELERNB4,"Earnings in 4th year after last attend postsecondary",
Finances Income   ,RELERNB5,"Earnings in 5th year after last attend postsecondary",
Finances Income   ,RELERNB6,"Earnings in 6th year after last attend postsecondary",
Finances Income   ,RELERNB7,"Earnings in 7th year after last attend postsecondary",
Finances Income   ,RELERNB8,"Earnings in 8th year after last attend postsecondary",
Finances Income   ,RELERNB9,"Earnings in 9th year after last attend postsecondary",
Finances Income   ,SAL_GEND,"Percentile ranking, last full year earnings by gender",
Finances Income   ,SAL_RANK,"Percentile ranking, last full year employed earnings",
Finances Income   ,SESQ,"Socioeconomic status quartile",
Finances Income   ,SESQUINT,"Socioeconomic status in quintiles",
Finances Income   ,STRT_PAY,"Annual earnings for first full year after attainment",
Finances Income   ,SY46GA,"Starting monthly salary",
Finances Income   ,SY46GB,"Pay schedule",
Finances Income   ,SY67N82,"1982 income",
Finances Income   ,SY67N83,"1983 income",
Finances Income   ,TE3,"Earnings bands--calculated separately by gender",
Finances Income   ,TE8386,"Total earnings 1983-1986",
Finances Income   ,TE8390,"Total earnings 1983-1990",
Finances Income   ,TE8790,"Total earnings 1987-1990",
Finances Income   ,TENINC,"Comp var of job/earnings/months--calculated sep. by gender",
Finances Income   ,TY54N84,"1984 income",
Finances Income   ,TY54N85,"1985 income",
Finances Income   ,WORK1,"Earnings 82-83",
Finances Income   ,WORK2,"Earnings 83-84",
Finances Income   ,WORK3,"Earnings 84-85",
Finances Income   ,WORK4,"Earnings 85-86",
Finances Income   ,Y4301B1,"Annual earnings in 1983",
Finances Income   ,Y4301B2,"Annual earnings in 1984",
Finances Income   ,Y4301B3,"Annual earnings in 1985",
Finances Income   ,Y4301B4Z,"Annual earnings in 1986",
Finances Income   ,Y4301B5Z,"Annual earnings in 1987",
Finances Income   ,Y4301B6Z,"Annual earnings in 1988",
Finances Income   ,Y4301B7Z,"Annual earnings in 1989",
Finances Income   ,Y4301B8Z,"Annual earnings in 1990",
Finances Income   ,Y4301B9Z,"Annual earnings in 1991",
Finances Income   ,Y4601C,"Total household income before taxes",
High School Activities   ,ATHLHS,"High school varsity athlete",
High School Activities   ,COCRINDX,"Cocurricular Index",
High School Activities   ,FY38A,"Varsity athletic teams 82",
High School Activities   ,FY38B,"Other athletic teams 82",
High School Activities   ,FY38C,"Cheerleading/pep club 82",
High School Activities   ,FY38D,"Debating/drama 82",
High School Activities   ,FY38E,"Band/orchestra 82",
High School Activities   ,FY38F,"Chorus/dance 82",
High School Activities   ,FY38G,"Hobby clubs 82",
High School Activities   ,FY38H,"Honorary clubs 82",
High School Activities   ,FY38I,"School newspaper/yearbook 82",
High School Activities   ,FY38J,"School subject-matter club 82",
High School Activities   ,FY38K,"Student council/government 82",
High School Activities   ,FY38L,"Vocational education club 82",
High School Activities   ,FY38M,"Youth community organization 82",
High School Activities   ,FY38N,"Church activities/youth group 82",
High School Activities   ,FY38O,"Junior achievement 82",
High School Activities   ,FY38P,"Service clubs/community service 82",
High School Activities   ,FY38Q,"Sororities/fraternities 82",
High School Attainment   ,ACRES,"HS academic resources quintiles",
High School Attainment   ,CLSRANKQ,"Enhanced HS rank quintile",
High School Attainment   ,EGQFLAG,"Early HS graduate flag",
High School Attainment   ,FG3,"Early high school graduation decision",
High School Attainment   ,GEDLVREC,"GED level record received",
High School Attainment   ,HSDEGDTE,"Date of high school graduation",
High School Attainment   ,HSGRAD,"High school degree/equivalency respondent received",
High School Attainment   ,HSGRADES,"Grades in high school",
High School Attainment   ,HSGRDAT2,"High school graduation year adjusted",
High School Attainment   ,HSGRDATE,"Year of high school diploma",
High School Attainment   ,SSTGPA2,"High school GPA quintiles",
High School Attainment   ,TY18,"High school education completed?",
High School Behaviors   ,FY60A,"Time talking with friends 82",
High School Behaviors   ,FY60B,"Time reading for pleasure 82",
High School Behaviors   ,FY60C,"Time going on dates 82",
High School Behaviors   ,FY61,"Time watching TV (weekdays) 82",
High School Behaviors   ,FY74A,"Popular 82",
High School Behaviors   ,FY74B,"Athletic 82",
High School Behaviors   ,FY74D,"Good student 82",
High School Behaviors   ,FY74F,"Troublemaker 82",
High School Behaviors   ,FY74G,"Part of leading crowd 82",
High School Behaviors   ,NEW_ATMT,"Highest degree/certification respondent received",
High School Courses   ,ACCURHSQ,"HS curriculum academic intensity",
High School Courses   ,ACRESPTS,"Academic resources composite index",
High School Courses   ,APTOT,"Total advanced placement courses",
High School Courses   ,BB011A,"Remedial English 80",
High School Courses   ,BB011B,"Remedial mathematics 80",
High School Courses   ,BB011F,"Sex education 80",
High School Courses   ,BB011G,"Drug abuse education 80",
High School Courses   ,CTI,"Academic curriculum credits in high school",
High School Courses   ,CTI1,"Mathematics credits in high school",
High School Courses   ,CTI22,"Biological science credits in high school",
High School Courses   ,CTI23,"Chemistry credits in high school",
High School Courses   ,CTI24,"Physics credits in high school",
High School Courses   ,CTI3,"English credits in high school",
High School Courses   ,CTI4,"Social studies credits in high school",
High School Courses   ,CTI5,"Fine arts credits in high school",
High School Courses   ,CTI6,"Foreign languages credits in high school",
High School Courses   ,CTI6LA,"Spanish credits in high school",
High School Courses   ,CTI6LB,"French credits in high school",
High School Courses   ,CTI6LC,"German credits in high school",
High School Courses   ,CTI6LD,"Latin credits in high school",
High School Courses   ,CTI6LF,"English second language credits in high school",
High School Courses   ,CTII,"Vocational education curriculum in high school",
High School Courses   ,HIGHMATH,"Highest level of math in high school",
High School Courses   ,HIGHRISK,"High academic risk student",
High School Courses   ,HSACCRED,"Aggregated total HS academic units",
High School Courses   ,HSACGPAQ,"High school academic GPA quintile",
High School Courses   ,HSCHEM,"High school chemistry units",
High School Courses   ,HSCOMP,"High school computer science units",
High School Courses   ,HSCORSCI,"High school core lab science units",
High School Courses   ,HSCRED,"Standardized total HS carnegie units",
High School Courses   ,HSENGL,"High school english units",
High School Courses   ,HSFLAN,"High school foreign language units",
High School Courses   ,HSFPA,"High school fine and perf arts units",
High School Courses   ,HSHIST,"High school history units",
High School Courses   ,HSMATH,"High school mathematics units",
High School Courses   ,HSREMM,"High school remedial math units",
High School Courses   ,HSSCI,"High school science units",
High School Courses   ,HSSOCS,"High school social science units",
High School Courses   ,HSVOC1,"High school vocational units: general",
High School Courses   ,HSVOC2,"High school vocational units: specific",
High School Courses   ,MATHPATN,"Math coursework pattern",
High School Courses   ,NETMATH,"High school math was all remedial",
High School Courses   ,NEWRANK,"Percentile high school class rank",
High School Courses   ,NWBASIC1,"New basics all",
High School Courses   ,NWBASIC2,"New basics excluding foreign language",
High School Courses   ,NWBASIC3,"New basics excluding computers",
High School Courses   ,NWBASIC4,"New basics without foreign language & computers",
High School Courses   ,NWBASIC5,"New basics 3SS+2Sci+2Math",
High School Courses   ,PERFHS,"Performing arts in HS",
High School Courses   ,REMHSENG,"Remedial english in high school",
High School Courses   ,SCIPATN,"Science coursework pattern",
High School Courses   ,SELFHSGR,"Self-reported high school GPA",
High School Courses   ,SEMFLAN,"Semesters of HS foreign language",
High School Courses   ,SEMFPA,"Semesters of HS fine and perf arts",
High School Courses   ,SEMMATH,"Semesters of HS mathematics",
High School Courses   ,SEMSCI,"Semesters of HS science",
High School Courses   ,VCONPATN,"Vocational coursework pattern",
High School Other   ,ACADGPA,"High school academic GPA",
High School Other   ,ACCHSNEW,"Academic intensity new version",
High School Other   ,ACCPTS,"Curriculum composite score",
High School Other   ,BB011E,"Bilingual program 80",
High School Other   ,BB014A,"Co-op program 80",
High School Other   ,BB014B,"Work-study program 80",
High School Other   ,BB014C,"Talent search 80",
High School Other   ,BB014D,"Upward bound 80",
High School Other   ,BB014F,"Alternative high school 80",
High School Other   ,BB014G,"School for pregnant girls 80",
High School Other   ,BB014H,"CETA program 80",
High School Other   ,BB014I,"Junior ROTC 80",
High School Other   ,BB015,"Time on homework per week 80",
High School Other   ,BB048,"Watching TV 80",
High School Other   ,BB092,"Attendence at religious services 80",
High School Other   ,BB093,"Think of self as religious person 80",
High School Other   ,EDSAT82,"Satisfaction with HS educ 1982",
High School Other   ,FY11A,"Co-op program 82",
High School Other   ,FY11B,"Work-study program 82",
High School Other   ,FY11C,"Talent search 82",
High School Other   ,FY11D,"Upward bound 82",
High School Other   ,FY11E,"Continuation high school 82",
High School Other   ,FY11F,"Alternative high school 82",
High School Other   ,FY11G,"School for pregnant girls 82",
High School Other   ,FY11H,"CETA program 82",
High School Other   ,FY11I,"Junior ROTC 82",
High School Other   ,FY16,"Absent fall-xmas vacation 82",
High School Other   ,HANDICAP,"Handicapped status & handicapped program participation",
High School Other   ,HSJOB82,"Type of most recent job 1981-82",
High School Other   ,HSPROG,"Program in high school",
High School Other   ,HSREG,"Location (census region) of high school",
High School Other   ,HSTYPE,"Control of high school",
High School Other   ,HSURBAN,"Urbanicity of high school area",
High School Other   ,INTSCHOL,"Interest in school to 1982",
High School Other   ,JOBENJ82,"Enjoyed job more than school",
High School Other   ,JOBIMP82,"Was job more important than school",
High School Other   ,PHSPROG,"High school program",
High School Other   ,PHSTYPE,"Type of high school",
High School Other   ,PRANKQ,"High school class rank quintile",
High School Other   ,SB002A,"High school size",
High School Other   ,SB002C,"Grade 12 size",
High School Other   ,SB011,"Percent 78-79 high school class in college",
High School Other   ,SB014,"Percent high school students who dropped out",
High School Other   ,SCHJOBGP,"High School Employment Experience Index",
High School Other   ,SST_GPA,"Grade point average in high school (x10)",
High School Other   ,SST_TOT,"High school Carnegie credits",
Institution Climate   ,BB105A,"Black students 1st grade",
Institution Climate   ,BB105B,"Black students 6th grade",
Institution Climate   ,BB105C,"Black students 9th grade",
Institution Climate   ,BB106A,"Hispanic students 1st grade",
Institution Climate   ,BB106B,"Hispanic students 6th grade",
Institution Climate   ,BB106C,"Hispanic students 9th grade",
Institution Climate   ,BLACKATT,"Black students/HBCU attendance pattern",
Institution Climate   ,BLCKATT2,"Expanded black students/HBCU pattern",
Institution Climate   ,FMCOLATT,"Attended a womens college",
Institution Climate   ,FY66G,"Feels unsafe in school 82",
Institution Climate   ,HBCATT,"Attended historically black college",
Institution Climate   ,HSIATT,"Attended hispanic-serving institution",
Institution Climate   ,PGM_GNDR,"Gender dominance of major field of study, highest deg./cert.",
Institution Climate   ,SB0093F,"Percent faculty Hispanic in high school",
Institution Climate   ,SB0093S,"Percent students Hispanic in high school",
Institution Climate   ,SB0094F,"Percent faculty black in high school",
Institution Climate   ,SB0094S,"Percent students black in high school",
Institution Climate   ,STARTSEL,"Selectivity of 1st institution attended",
Institution Climate   ,TY28A,"Quality of teachers",
Institution Climate   ,TY28B,"Social life",
Institution Climate   ,TY28C,"Development of work skills",
Institution Climate   ,TY28D,"Intellectual growth",
Institution Climate   ,TY28E,"Counseling or job placement",
Institution Climate   ,TY28F,"Buildings, library, equipment",
Institution Climate   ,TY28G,"Cultural activities, music, art",
Institution Climate   ,TY28H,"Intellectual life of the school",
Institution Climate   ,TY28I,"Course curriculum",
Institution Climate   ,TY28J,"Quality of the instruction",
Institution Climate   ,TY28K,"Sports and recreation facilities",
Institution Climate   ,TY28L,"Financial cost of attending",
Institution Climate   ,TY28M,"Prestige of the institution",
Institution Other   ,HSDIV,"Location (census division) of high school",
Institution Type   ,ATNDTYPA,"When first attended private for-profit institution",
Institution Type   ,ATNDTYPB,"When first attended 2-year private NFP institution",
Institution Type   ,ATNDTYPC,"When first attended 2-year public institution",
Institution Type   ,ATNDTYPD,"When first attended 4-year private NFP institution",
Institution Type   ,ATNDTYPE,"When first attended 4-year public institution",
Institution Type   ,ATTFOUR,"Ever attend 4-year college as undergrad.",
Institution Type   ,ATTWO,"Ever attend 2-year college as undergrad.",
Institution Type   ,BREAKCR,"Credits completed 2/4-yr before interrupt",
Institution Type   ,CCPOSTBA,"Attended CC after bachelors",
Institution Type   ,CDEGALL,"Credits and degrees at 2/4-yr inst. (all)",
Institution Type   ,CDEGCMP,"Credits and degrees at 2/4-yr institutions",
Institution Type   ,COMBINST,"Combination of instit types attended",
Institution Type   ,CRD2YR,"Credits earned from 2-year institutions",
Institution Type   ,CRD4YR,"Credits earned from 4-year institutions",
Institution Type   ,CREDATT1,"Credits attempted term 1 at 2/4-yr inst.",
Institution Type   ,CREDATY1,"Credits attempted/term, yr 1 at 2/4-yr inst.",
Institution Type   ,CREDS2,"Semester credits completed at 2-year inst'n",
Institution Type   ,CREDS4,"Semester credits completed at 4-year inst'n",
Institution Type   ,CREDSALL,"All semester creds at 2/4-year inst'ns",
Institution Type   ,CREDSCMP,"Semester credits completed at 2/4-year inst",
Institution Type   ,CREDSEX,"Semester credits by exam at 2/4-year inst'n",
Institution Type   ,CREDSTT8,"Unaccounted transfer creds--2-/4-year inst'",
Institution Type   ,CTYPE1,"Carnegie type of no-degree institution",
Institution Type   ,CTYPE2,"Carnegie type of certificate institution",
Institution Type   ,CTYPE3,"Carnegie type of associates degree instit",
Institution Type   ,CTYPE4,"Carnegie type of Bachelor's degree instit",
Institution Type   ,CTYPE5,"Carnegie type of post-bacc coursework",
Institution Type   ,CTYPE6,"Carnegie type of incomplete grad deg instit",
Institution Type   ,CTYPE7,"Carnegie type of master's degree institution",
Institution Type   ,CTYPE8,"Carnegie type of 1st profess degree instit",
Institution Type   ,DIFFICE,"First and last undergraduate institution",
Institution Type   ,F2YR,"First date attended 2-yr college",
Institution Type   ,F4YR,"First date attended 4-yr college",
Institution Type   ,FMCOLATT,"Attended a womens college",
Institution Type   ,FOUR_YR,"Attended a four-year institution",
Institution Type   ,FY114A,"Type of school 1st grade",
Institution Type   ,FY114B,"Type of school 2nd grade",
Institution Type   ,FY114C,"Type of school 3rd grade",
Institution Type   ,FY114D,"Type of school 4th grade",
Institution Type   ,FY114E,"Type of school 5th grade",
Institution Type   ,FY114F,"Type of school 6th grade",
Institution Type   ,FY114G,"Type of school 7th grade",
Institution Type   ,FY114H,"Type of school 8th grade",
Institution Type   ,FY114I,"Type of school 9th grade",
Institution Type   ,HBCATT,"Attended historically black college",
Institution Type   ,HSIATT,"Attended hispanic-serving institution",
Institution Type   ,INSTCOM3,"Combination of institutions attended (mod)",
Institution Type   ,INSTCOMB,"Combination of institutions attended",
Institution Type   ,N2YR,"Number of 2-year colleges attended",
Institution Type   ,N4YR,"Number of 4-year colleges attended",
Institution Type   ,NOTH,"Number of trade and special schools attended",
Institution Type   ,PSE8206,"Enrollment status/institution type in 8206",
Institution Type   ,PSE8207,"Enrollment status/institution type in 8207",
Institution Type   ,PSE8208,"Enrollment status/institution type in 8208",
Institution Type   ,PSE8209,"Enrollment status/institution type in 8209",
Institution Type   ,PSE8210,"Enrollment status/institution type in 8210",
Institution Type   ,PSE8211,"Enrollment status/institution type in 8211",
Institution Type   ,PSE8212,"Enrollment status/institution type in 8212",
Institution Type   ,PSE8301,"Enrollment status/institution type in 8301",
Institution Type   ,PSE8302,"Enrollment status/institution type in 8302",
Institution Type   ,PSE8303,"Enrollment status/institution type in 8303",
Institution Type   ,PSE8304,"Enrollment status/institution type in 8304",
Institution Type   ,PSE8305,"Enrollment status/institution type in 8305",
Institution Type   ,PSE8306,"Enrollment status/institution type in 8306",
Institution Type   ,PSE8307,"Enrollment status/institution type in 8307",
Institution Type   ,PSE8308,"Enrollment status/institution type in 8308",
Institution Type   ,PSE8309,"Enrollment status/institution type in 8309",
Institution Type   ,PSE8310,"Enrollment status/institution type in 8310",
Institution Type   ,PSE8311,"Enrollment status/institution type in 8311",
Institution Type   ,PSE8312,"Enrollment status/institution type in 8312",
Institution Type   ,PSE8401,"Enrollment status/institution type in 8401",
Institution Type   ,PSE8402,"Enrollment status/institution type in 8402",
Institution Type   ,PSE8403,"Enrollment status/institution type in 8403",
Institution Type   ,PSE8404,"Enrollment status/institution type in 8404",
Institution Type   ,PSE8405,"Enrollment status/institution type in 8405",
Institution Type   ,PSE8406,"Enrollment status/institution type in 8406",
Institution Type   ,PSE8407,"Enrollment status/institution type in 8407",
Institution Type   ,PSE8408,"Enrollment status/institution type in 8408",
Institution Type   ,PSE8409,"Enrollment status/institution type in 8409",
Institution Type   ,PSE8410,"Enrollment status/institution type in 8410",
Institution Type   ,PSE8411,"Enrollment status/institution type in 8411",
Institution Type   ,PSE8412,"Enrollment status/institution type in 8412",
Institution Type   ,PSE8501,"Enrollment status/institution type in 8501",
Institution Type   ,PSE8502,"Enrollment status/institution type in 8502",
Institution Type   ,PSE8503,"Enrollment status/institution type in 8503",
Institution Type   ,PSE8504,"Enrollment status/institution type in 8504",
Institution Type   ,PSE8505,"Enrollment status/institution type in 8505",
Institution Type   ,PSE8506,"Enrollment status/institution type in 8506",
Institution Type   ,PSE8507,"Enrollment status/institution type in 8507",
Institution Type   ,PSE8508,"Enrollment status/institution type in 8508",
Institution Type   ,PSE8509,"Enrollment status/institution type in 8509",
Institution Type   ,PSE8510,"Enrollment status/institution type in 8510",
Institution Type   ,PSE8511,"Enrollment status/institution type in 8511",
Institution Type   ,PSE8512,"Enrollment status/institution type in 8512",
Institution Type   ,PSE8601,"Enrollment status/institution type in 8601",
Institution Type   ,PSE8602,"Enrollment status/institution type in 8602",
Institution Type   ,PSE8603,"Enrollment status/institution type in 8603",
Institution Type   ,PSE8604,"Enrollment status/institution type in 8604",
Institution Type   ,PSE8605,"Enrollment status/institution type in 8605",
Institution Type   ,PSE8606,"Enrollment status/institution type in 8606",
Institution Type   ,PSE8607,"Enrollment status/institution type in 8607",
Institution Type   ,PSE8608,"Enrollment status/institution type in 8608",
Institution Type   ,PSE8609,"Enrollment status/institution type in 8609",
Institution Type   ,PSE8610,"Enrollment status/institution type in 8610",
Institution Type   ,PSE8611,"Enrollment status/institution type in 8611",
Institution Type   ,PSE8612,"Enrollment status/institution type in 8612",
Institution Type   ,PSE8701,"Enrollment status/institution type in 8701",
Institution Type   ,PSE8702,"Enrollment status/institution type in 8702",
Institution Type   ,PSE8703,"Enrollment status/institution type in 8703",
Institution Type   ,PSE8704,"Enrollment status/institution type in 8704",
Institution Type   ,PSE8705,"Enrollment status/institution type in 8705",
Institution Type   ,PSE8706,"Enrollment status/institution type in 8706",
Institution Type   ,PSE8707,"Enrollment status/institution type in 8707",
Institution Type   ,PSE8708,"Enrollment status/institution type in 8708",
Institution Type   ,PSE8709,"Enrollment status/institution type in 8709",
Institution Type   ,PSE8710,"Enrollment status/institution type in 8710",
Institution Type   ,PSE8711,"Enrollment status/institution type in 8711",
Institution Type   ,PSE8712,"Enrollment status/institution type in 8712",
Institution Type   ,PSE8801,"Enrollment status/institution type in 8801",
Institution Type   ,PSE8802,"Enrollment status/institution type in 8802",
Institution Type   ,PSE8803,"Enrollment status/institution type in 8803",
Institution Type   ,PSE8804,"Enrollment status/institution type in 8804",
Institution Type   ,PSE8805,"Enrollment status/institution type in 8805",
Institution Type   ,PSE8806,"Enrollment status/institution type in 8806",
Institution Type   ,PSE8807,"Enrollment status/institution type in 8807",
Institution Type   ,PSE8808,"Enrollment status/institution type in 8808",
Institution Type   ,PSE8809,"Enrollment status/institution type in 8809",
Institution Type   ,PSE8810,"Enrollment status/institution type in 8810",
Institution Type   ,PSE8811,"Enrollment status/institution type in 8811",
Institution Type   ,PSE8812,"Enrollment status/institution type in 8812",
Institution Type   ,PSE8901,"Enrollment status/institution type in 8901",
Institution Type   ,PSE8902,"Enrollment status/institution type in 8902",
Institution Type   ,PSE8903,"Enrollment status/institution type in 8903",
Institution Type   ,PSE8904,"Enrollment status/institution type in 8904",
Institution Type   ,PSE8905,"Enrollment status/institution type in 8905",
Institution Type   ,PSE8906,"Enrollment status/institution type in 8906",
Institution Type   ,PSE8907,"Enrollment status/institution type in 8907",
Institution Type   ,PSE8908,"Enrollment status/institution type in 8908",
Institution Type   ,PSE8909,"Enrollment status/institution type in 8909",
Institution Type   ,PSE8910,"Enrollment status/institution type in 8910",
Institution Type   ,PSE8911,"Enrollment status/institution type in 8911",
Institution Type   ,PSE8912,"Enrollment status/institution type in 8912",
Institution Type   ,PSE9001,"Enrollment status/institution type in 9001",
Institution Type   ,PSE9002,"Enrollment status/institution type in 9002",
Institution Type   ,PSE9003,"Enrollment status/institution type in 9003",
Institution Type   ,PSE9004,"Enrollment status/institution type in 9004",
Institution Type   ,PSE9005,"Enrollment status/institution type in 9005",
Institution Type   ,PSE9006,"Enrollment status/institution type in 9006",
Institution Type   ,PSE9007,"Enrollment status/institution type in 9007",
Institution Type   ,PSE9008,"Enrollment status/institution type in 9008",
Institution Type   ,PSE9009,"Enrollment status/institution type in 9009",
Institution Type   ,PSE9010,"Enrollment status/institution type in 9010",
Institution Type   ,PSE9011,"Enrollment status/institution type in 9011",
Institution Type   ,PSE9012,"Enrollment status/institution type in 9012",
Institution Type   ,PSE9101,"Enrollment status/institution type in 9101",
Institution Type   ,PSE9102,"Enrollment status/institution type in 9102",
Institution Type   ,PSE9103,"Enrollment status/institution type in 9103",
Institution Type   ,PSE9104,"Enrollment status/institution type in 9104",
Institution Type   ,PSE9105,"Enrollment status/institution type in 9105",
Institution Type   ,PSE9106,"Enrollment status/institution type in 9106",
Institution Type   ,PSE9107,"Enrollment status/institution type in 9107",
Institution Type   ,PSE9108,"Enrollment status/institution type in 9108",
Institution Type   ,PSE9109,"Enrollment status/institution type in 9109",
Institution Type   ,PSE9110,"Enrollment status/institution type in 9110",
Institution Type   ,PSE9111,"Enrollment status/institution type in 9111",
Institution Type   ,PSE9112,"Enrollment status/institution type in 9112",
Institution Type   ,PSE9201,"Enrollment status/institution type in 9201",
Institution Type   ,PSE9202,"Enrollment status/institution type in 9202",
Institution Type   ,PSE9203,"Enrollment status/institution type in 9203",
Institution Type   ,PSE9204,"Enrollment status/institution type in 9204",
Institution Type   ,PSE9205,"Enrollment status/institution type in 9205",
Institution Type   ,PSE9206,"Enrollment status/institution type in 9206",
Institution Type   ,REFINST,"Referent first instit of attendance",
Institution Type   ,SCHL1A,"First institution type attended for certificate",
Institution Type   ,SCHL1B,"First institution type attended for associates degree",
Institution Type   ,SCHL1C,"First institution type attended for bachelors degree",
Institution Type   ,SCHL1D,"First institution type attended for masters degree",
Institution Type   ,SCHL1E,"First institution type attended for professional degree",
Institution Type   ,SCHL1F,"First institution type attended for doctorate",
Institution Type   ,SCLCNTBA,"Institution granting first bachelors degree",
Institution Type   ,STARTYPE,"Level and control of 1st instit attended",
Institution Type   ,TRIFA2,"True institution first attended",
Institution Type   ,TRIFA3,"True institution first attended (modified)",
Institution Type   ,TRUSECT,"First institution level/control/offering",
Institution Type   ,TWO_YR,"Attended a two-year institution",
Institution Type   ,Y4203A01,"First institution type",
Parent Education   ,BB095,"Read to before started school",
Parent Education   ,DADED2,"Adjusted father's highest education 1982",
Parent Education   ,DADED82,"Unadjusted fathers highest education 1982",
Parent Education   ,FAEDAT,"Father's highest education attained",
Parent Education   ,FATHEDUC,"Fathers educational attainment 1980",
Parent Education   ,FY58A,"Parent attended PTA meeting 82",
Parent Education   ,FY58B,"Parent attended parent-teacher conference 82",
Parent Education   ,FY58C,"Parent visited classes 82",
